,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
51,2016-06-21,6.62,999755.0,923516.0,35610.0,35880.0,35480.0,35570.0,1.09925,120.0,140.0,45.0,55.0,-11.25,-26.0,35640.0,35690.0,4587.0,192175.0,149350.0,316502.0,155235.0,66898.0,35680.0,80.0,130.0,642572.0,7.6306,7.6156,70.0,120.0,95.0,0.0
52,2016-06-22,6.62,999755.0,923516.0,35650.0,36270.0,35530.0,36260.0,1.02517,120.0,140.0,45.0,55.0,-8.5,-23.75,35860.0,35900.0,4687.5,190700.0,144450.0,317703.0,155235.0,64323.0,35890.0,70.0,130.0,650178.0,7.5753,7.5668,80.0,120.0,100.0,0.0
53,2016-06-23,6.63,999755.0,923516.0,36280.0,36390.0,36060.0,36270.0,1.05889,120.0,140.0,50.0,60.0,-3.5,-16.5,36150.0,36170.0,4747.0,194375.0,139750.0,316893.0,155235.0,62881.0,36200.0,70.0,130.0,648758.0,7.5989,7.5905,80.0,120.0,100.0,0.0
54,2016-06-24,6.62,999755.0,923516.0,36550.0,36760.0,35850.0,35970.0,1.00544,110.0,150.0,50.0,60.0,-8.0,-20.5,36190.0,36200.0,4663.0,192375.0,139500.0,318946.0,155235.0,62653.0,36280.0,70.0,130.0,629176.0,7.6497,7.6476,80.0,120.0,100.0,0.0
56,2016-06-27,6.64,999755.0,923516.0,36120.0,36730.0,36020.0,36720.0,1.04086,110.0,130.0,50.0,60.0,-11.5,-26.0,36390.0,36370.0,4692.0,191700.0,139875.0,319984.0,161894.0,64689.0,36400.0,70.0,120.0,630384.0,7.6578,7.6557,70.0,110.0,90.0,0.0
57,2016-06-28,6.68,999755.0,923516.0,36500.0,37280.0,36460.0,37200.0,0.931621,80.0,100.0,50.0,60.0,-8.75,-23.0,36880.0,36830.0,4777.5,192950.0,141725.0,318945.0,161894.0,63752.0,36870.0,50.0,100.0,645712.0,7.7214,7.7339,10.0,70.0,40.0,0.0
58,2016-06-29,6.69,999755.0,923516.0,37300.0,37500.0,37010.0,37220.0,0.99545,50.0,70.0,50.0,60.0,-7.75,-22.75,37220.0,37110.0,4780.0,194200.0,139325.0,320403.0,161894.0,63602.0,37260.0,10.0,60.0,642454.0,7.7276,7.7441,10.0,50.0,30.0,0.0
59,2016-06-30,6.69,991204.0,1102055.0,37250.0,37690.0,37080.0,37530.0,1.08429,40.0,60.0,50.0,60.0,-5.0,-21.0,37480.0,37430.0,4827.0,191525.0,136700.0,318983.0,161894.0,66817.0,37470.0,-20.0,50.0,626830.0,7.6923,7.7006,-10.0,40.0,15.0,1.0
60,2016-07-01,6.69,991204.0,1102055.0,37440.0,37630.0,37140.0,37300.0,0.953426,50.0,70.0,50.0,60.0,-11.5,-24.75,37370.0,37360.0,4783.5,189125.0,137150.0,325478.0,161894.0,66589.0,37380.0,0.0,50.0,611058.0,7.642,7.642,-20.0,40.0,10.0,0.0
62,2016-07-04,6.69,991204.0,1102055.0,37290.0,38510.0,37220.0,38410.0,0.893746,50.0,70.0,50.0,60.0,-13.25,-26.5,38090.0,38030.0,4920.0,188400.0,137225.0,324038.0,162130.0,66589.0,38040.0,-20.0,60.0,659864.0,7.8225,7.8532,-20.0,30.0,5.0,1.0
